Phrase,Sentiment
Phantom Menace,2
quick release,2
of serial killers,2
be entertained by,3
from its red herring surroundings,2
the end,2
an accessible introduction as well as,3
an ounce of honest poetry in his entire script,2
depends largely on your appetite for canned corn .,0
this first film,2
a middle-aged moviemaker 's,2
"May not be a breakthrough in filmmaking , but",2
Opening up,3
your hands,2
The story is bogus,0
"It desperately wants to be a wacky , screwball comedy ,",2
"Strangers ,",2
an artificial creation in a world that thrives on artificiality,2
The emotional overload of female angst irreparably drags the film down .,0
social commentary,2
The fact that it is n't very good,0
some success with documentaries,3
Matthew Cirulnick and,2
a neat trick,3
than the two-hour version released here in 1990,2
relationships minus traditional gender roles,2
"As a science fiction movie , `` Minority Report '' astounds .",4
"chase , explosion or gunfight",2
more salacious telenovela than serious drama,1
its poignant and uplifting story,4
"'s all gratuitous before long , as if Schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story",1
"makes sense ,",2
is the gabbiest giant-screen movie ever,1
more attention,2
lowbrow comedy,2
of justice,3
make you misty even when you do n't,3
deadpan cool,2
Does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of Richard Nixon,1
Familiar but utterly delightful .,3
leave you speaking in tongues,3
clips,2
the right bands for the playlist,2
extra-large,2
the lives of women torn apart by a legacy of abuse,1
"The Santa Clause 2 , purportedly a children 's movie ,",2
", it must be said that he is an imaginative filmmaker who can see the forest for the trees .",3
addition to scoring high for originality of plot,3
's not too glorified a term,2
foibles,2
of the very things,2
in the brain,2
nourishing aspects,3
"ca n't quite maintain its initial momentum , but remains sporadically funny throughout .",3
the military system of justice,2
"a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism",4
change hackneyed concepts,1
Jordan Brady 's,2
unabashed sense,2
suck up to this project,2
More a gunfest than a Rock concert,2
it 's a lousy one at that .,0
sorry use of Aaliyah in her one and only starring role,1
all its strange quirks,3
"It 's sweet , funny , charming , and completely delightful .",4
the same sort of good-natured fun found in films like Tremors,3
Girlfriends are bad,2
the plot almost arbitrary,1
"Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",3
"are a few modest laughs , but certainly no",1
expressing the way many of us live -- someplace between consuming self-absorption,2
soberly reported,2
Farrelly Brothers,2
Ultimate,2
"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows",2
"Directors John Musker and Ron Clements , the team behind The Little Mermaid , have produced sparkling retina candy , but they are n't able to muster a lot of emotional resonance in the cold vacuum of space",2
"digs into their very minds to find an unblinking , flawed humanity .",3
Chouraqui,2
"on a guilty-pleasure , so-bad-it 's - funny level",2
as community-therapy spectacle,2
"of the jokes , most at women 's expense",1
"Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .",4
studio production,2
how Sandler is losing his touch,1
unfunny wannabe,0
buried,2
anything discordant would topple the balance,2
that both,2
new scene,2
actors play,2
the assumption,2
"be more engaging on an emotional level , funnier , and on the whole less",2
much of anything,2
"Undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins .",1
a good vampire tale,3
"` All in all , Reign of Fire will be a good -LRB- successful -RRB- rental . '",2
with visible boom mikes,2
"a classical dramatic animated feature , nor",2
"A different kind of love story - one that is dark , disturbing , painful to watch , yet compelling .",2
It 's not particularly subtle,2
"is a movie that is what it is : a pleasant distraction , a Friday night diversion , an excuse to eat popcorn",3
is tuned in to its community,3
"grows decidedly flimsier with its many out-sized , out of character and logically porous action set pieces .",1
to lampoon,2
"is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction",4
the eye candy,2
of the most entertaining Bonds in years,4
a wacky concept does not a movie make,2
The Skulls '',2
unlikely we 'll see a better thriller this year,2
Jason actually takes a backseat in his own film to special effects,2
a pretentious,2
can rise to fans ' lofty expectations,3
have about Spirited Away,2
hilariously wicked black comedy ...,4
abundantly clear,2
should catch this IMAX offering,3
shared by the nation at their sacrifice .,3
are opaque enough to avoid didacticism,2
misanthropy,1
of Cuban music,2
is improbable,2
to the endless action sequences,1
frat boy 's,2
say it,2
Demonstrates a vivid imagination and an impressive style,4
and red van,2
very enjoyable ...,3
With a tighter editorial process and firmer direction,2
older woman,2
"the 1959 Godzilla , which combined scenes of a Japanese monster flick with canned shots of Raymond Burr commenting on the monster 's path of destruction",2
confusing and horrifying,1
the only thing Avary seems to care about,1
sledgehammer,2
any kind,2
the ticket you need,3
The most ill-conceived animated comedy since the 1991 dog Rover Dangerfield .,2
sinks .,1
to share his impressions of life and loss and time and art with us,3
up a storm as a fringe feminist conspiracy theorist named Dirty Dick,1
"Yet another iteration of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally `` superior '' friends , family ...",1
the testosterone-charged wizardry of Jerry Bruckheimer productions,3
"new texture ,",2
to feel like you were n't invited to the party,1
this wafer-thin movie,1
girl-buddy,2
is sordid and disgusting,0
are served with a hack script .,1
"aside from Robert Altman , Spike Lee , the Coen Brothers and a few others ,",2
than any recreational drug on the market,2
Diane Lane works nothing short of a minor miracle in Unfaithful .,4
their losses,2
practiced,2
Sarah 's dedication,2
"In old-fashioned screenwriting parlance , Ms. Shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .",1
feeling a little sticky and unsatisfied,1
Juan Jose Campanella,2
about a seasonal holiday kids,2
dismissed as mindless,0
cause parents a few sleepless hours,1
stifles,2
obvious copy,1
s\/m,2
his budget,2
compelling French psychological drama,3
Neither as scary-funny as Tremors,1
peculiarly,1
old man,2
"from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron",3
dislikable,1
splendid performances,4
thousand-times -,2
"are both superb , while Huppert ... is magnificent .",4
calm us,2
each and every one of Abagnale 's antics,2
wish Windtalkers had had more faith in the dramatic potential of this true story,2
Susan Sontag falling in love with Howard Stern,2
would rather,2
a gross-out monster movie with effects that are more silly than scary,1
well dressed and well,2
his boisterous energy fails to spark this leaden comedy,1
"It 's a big idea ,",2
is as close as you can get to an imitation movie,0
feeling like no other film in recent history,4
"time for an absurd finale of twisted metal , fireballs and revenge",1
the park,3
"an important movie ,",3
"The director , with his fake backdrops and stately pacing",0
Sheridan 's,2
we 've come to expect from movies nowadays,2
the entire history of the Yiddish theater,2
unashamedly pro-Serbian,2
'' 2002,2
skateboard film,2
a parsec,2
"'s relentlessly folksy ,",2
its unforced comedy-drama and,2
between reluctant,2
to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence,1
Naqoyqatsi,2
a former film editor,2
"avoids all the comic possibilities of its situation , and",1
fun-for-fun,3
material,2
in its objective portrait of dreary,2
viewers out in the cold and,1
listening to a four-year-old,2
dreary and,1
Pretend like your SAT scores,2
"borrows from Bad Lieutenant and Les Vampires , and comes up with a kind of art-house gay porn film .",2
never seem to match the power of their surroundings .,2
the movie 's darker turns,2
The movie is too impressed with its own solemn insights to work up much entertainment value .,1
exit sign,1
Neighbor 's,2
step-printing,2
are missing,2
them clumsily mugging their way through Snow Dogs,2
a powerful emotional wallop,3
The Laramie Project,2
here of a director enjoying himself immensely,3
endearing,3
offensive,1
a medium-grade network sitcom,2
but something far more stylish and cerebral,3
action film ',2
of his poetics,2
"Muccino seems to be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble .",3
-LRB- Janey -RRB-,2
is generally,2
becoming a better person,2
"Let 's see , a haunted house , a haunted ship , what 's next ...",2
fit in and gain the unconditional love she seeks,2
surrealistic,3
noir movie,2
moviemaking process,2
of films like Philadelphia and American Beauty,2
It 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good .,2
"is all about a wild-and-woolly , wall-to-wall good time .",4
is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide .,2
from the material,2
slight and admittedly manipulative,2
's hold over her,2
depend,2
film criticism can be considered work,2
of the elements,2
giant spider invasion comic chiller,3
"the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen",1
the molehill,1
the numbers,2
one teenager 's uncomfortable class resentment and,1
handsome execution,3
modern man,2
you may ask,2
Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire .,1
observant,2
heart or conservative,3
"the old saying goes , because it 's true",3
philosophical burden,2
those around him,2
family responsibility and care,3
were n't as beautifully shaped and as delicately calibrated in tone,1
is almost beside the point,2
"an athlete , a movie star ,",3
it has concocted,2
see this film you 'll know too,2
it is that it does n't give a damn .,1
tick-tock pacing,1
rate Annie,3
` triumph ',3
"has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores .",4
nothing at the core of this slight coming-of-age\/coming-out tale,1
"of a mushy , existential exploration of why men leave their families",1
"It 's fun , but",2
Writer\/director Alexander Payne -LRB- Election -RRB- and his co-writer Jim Taylor,2
rap and adolescent poster-boy,2
"who like explosions , sadism and seeing people beat each other to a pulp",1
", we cut to a new scene , which also appears to be the end .",2
McAdams,2
guys like Evans,2
All of the filmmakers ' calculations,2
"There are a few modest laughs , but certainly no thrills .",2
funny stuff,3
leaden script,1
of being released a few decades too late,1
African-American,2
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch",4
haul,2
This picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,1
nearly perfect in their roles,4
It is up to you to decide if you need to see it .,2
any,2
control -- that is to say,2
Garbus -RRB-,2
to break free of her old life,4
a heretofore unfathomable question : Is it possible for computer-generated characters,1
their fair shot,2
in us,2
might not notice the flaws,2
has really,2
that the answer is as conventional as can be,1
"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates",2
a screenful,2
end on a positive -LRB- if tragic -RRB- note,3
a dead dog,2
explore same-sex culture in ways that elude the more nationally settled,3
popcorn thriller,3
4Ever is neither a promise nor a threat so much as wishful thinking .,1
remains the most wondrous of all Hollywood fantasies -- and the apex of Steven Spielberg 's misunderstood career,4
for Hollywood horror,2
responsible for it,2
The movie is pretty funny now and then without in any way demeaning its subjects .,3
viewers will wish there had been more of the `` Queen '' and less of the `` Damned . '',1
steal a glimpse,2
stink bomb .,1
", unimaginative and derivative",0
last week,2
Cunningham 's,2
Laconic and very stilted in its dialogue,2
shot two years ago,1
wickedly sick and twisted humor,3
at least one,2
holiday contraption,2
scotches,2
have I heard a film so solidly connect with one demographic while striking out with another .,2
satisfying niblet,3
is nothing distinguishing in a Randall Wallace film,1
's self-defeatingly decorous,1
submarine movie,3
Christ allegory,2
"American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .",3
with a pleasing verisimilitude,3
a tart little lemon drop,2
since,2
"did this viewer feel enveloped in a story that , though meant to be universal in its themes of loyalty , courage and dedication to a common goal , never seems to leave the lot",1
her pursuers,2
as mud,2
at modern living and movie life,2
"This is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , ` Ah , yes , here we have a bad , bad , bad movie .",0
your tensions,2
slapdash,2
an unusual protagonist,2
"A film centering on a traditional Indian wedding in contemporary New Delhi may not sound like specialized fare , but Mira Nair 's film is an absolute delight for all audiences .",4
"keeps things interesting , but",2
"unorthodox , abstract approach",2
should have been sent back to the tailor for some major alterations .,2
a tad less for grit and,2
of imagery,2
Chaiken,2
McGrath 's,2
"Definitely a crowd-pleaser , but then , so was the Roman Colosseum .",3
most will take away,2
releases,2
the blasphemous bad boy of suburban Jersey,2
through every frame,2
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .,3
a-knocking,3
Reno himself can take credit for most of the movie 's success .,3
outdated swagger,1
lightly,2
", a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , Morgan Freeman and Ashley Judd .",1
formulaic and forgettable,0
"Amy and Matthew have a bit of a phony relationship ,",1
one of the most interesting writer\/directors,3
has n't lost a bit of the dry humor that first made audiences on both sides of the Atlantic love him,4
about the state of the music business in the 21st Century,2
Cagney and Lacey,2
smack of a Hallmark Hall of Fame,1
all over again,2
You just know something terrible is going to happen .,2
lift -LRB- this -RRB- thrill-kill cat-and-mouser,2
"The acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing",1
thinking urgently as the protagonists struggled,2
underwater ghost stories go,2
full ticket price,2
auteur,2
's kind,2
"is too picture postcard perfect , too neat and new pin-like ,",1
is heartfelt and achingly real,4
a touching love story,3
Despite its dry wit and compassion,2
imperious,2
masculine persona,2
all the suspense of a 20-car pileup,2
-- and not always for the better,1
leash,2
Western foreign policy - however well intentioned -,2
their lofty perch,3
sacrifice,2
"The otherwise good-naturedness of Mr. Deeds , with its embrace of sheer goofiness and cameos of less - than-likely New York celebrities ... certainly raises the film above anything Sandler 's been attached to before .",3
something I would rather live in denial about,1
This 90-minute dud could pass for Mike Tyson 's E !,0
swear you,2
'm not exactly sure what this movie thinks it is about .,0
the 1959 Godzilla,2
keeping the film from cheap-shot mediocrity,2
trades in,2
"putrid writing , direction and timing",0
The best thing that can be said of the picture is that it does have a few cute moments .,2
at the helm,3
Paul Thomas Anderson 's Magnolia,2
of the rarest kinds of films,4
", it 's still entertaining to watch the target practice .",3
Woodman,2
ultimately offers nothing more than people in an urban jungle needing other people to survive ...,2
"slightly sunbaked and summery mind , Sex and Lucia may well prove diverting enough .",3
home a heavy-handed moralistic message,2
a bit exploitative but also nicely done,3
", the humor has point",3
Trek flick,2
-LRB- this -RRB- meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot,2
This gorgeous epic is guaranteed to lift the spirits of the whole family .,4
"... the efforts of its star , Kline , to lend some dignity to a dumb story are for naught .",1
moviemaker,2
's Rambo - meets-John Ford .,2
"the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money",2
surrounded by open windows .,2
she and writing partner Laurence Coriat do n't manage an equally assured narrative coinage,2
"despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts",1
-LRB- MacDowell -RRB- ventures beyond her abilities several times here and reveals how bad an actress she is .,0
's really just another Major League .,1
dysfunctionally,2
a sense of dramatic urgency,3
one adapted -,2
"lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food",3
watching sad but endearing characters do extremely unconventional things,2
hurts the overall impact of the film,1
do a good job of painting this family dynamic for the audience,3
you 're a Jet all the way,3
reaffirming,2
The most brilliant and brutal UK crime film since Jack Carter,4
be a flawed film,1
a mess,0
"his life , his dignity",2
the combustible mixture,2
Translating complex characters,2
profane and,2
was .,2
grayish,1
locusts,2
's a movie that gets under your skin .,2
of the movie landscape,2
a talent,3
Liza 's,2
"No one involved , save Dash ,",2
"as a very distinctive sensibility , working to develop her own film language with conspicuous success",3
required to balance all the formulaic equations in the long-winded heist comedy Who Is Cletis Tout ?,1
why we take pictures,2
the story 's,2
spectacle and,1
"dare I say , entertaining !",3
so it 's not a brilliant piece of filmmaking,0
wistful everyday ironies,3
"made , but does n't generate a lot of tension .",2
Goddammit,0
"the wit , humor and snappy dialogue of the original",3
arrogance,2
his star,2
should go,2
White 's,2
", it 's icky .",1
"see Scratch for a lesson in scratching , but , most of all",2
the life out,2
colleagues,2
"Most of the information has already appeared in one forum or another and , no matter how Broomfield dresses it up , it tends to speculation , conspiracy theories or , at best , circumstantial evidence .",1
So much about the film is loopy and ludicrous ... that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened .,1
photographed and staged by Mendes,2
the novel 's deeper intimate resonances,2
a triumph of emotionally and narratively complex filmmaking .,4
think that A.C. will help this movie one bit,2
"small , human moments",3
you enough to feel good about,3
A winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others,4
"is n't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .",3
"This is a dark , gritty , sometimes funny little gem .",3
Lucia,2
would only be to flatter it,2
might have been titled ` The Loud and the Ludicrous ',2
dumb fart,1
a middle-aged romance,3
very silly movie,2
porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture,2
overused cocktail,1
"seen through the right eyes ,",2
squarely fills the screen .,3
"Sandra Bullock and Hugh Grant make a great team , but",3
fantastic performance,3
specific gifts,2
of talking,2
"riveting , brisk delight",4
three or four more,2
horribly,0
the weight of too many story lines,1
a picture that was n't all that great to begin with,0
"sharp , overmanipulative Hollywood practices",1
A no-holds-barred cinematic,3
a massive infusion,1
as monstrous,1
partly,2
deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill,3
if they spend years trying to comprehend it,2
"examines general issues of race and justice among the poor , and specifically raises serious questions about the death penalty and asks what good the execution of a mentally challenged woman could possibly do",3
", Empire still has enough moments to keep it entertaining .",3
"is pleasant , diverting and modest -- definitely a step in the right direction .",4
fuses the events of her life with the imagery in her paintings,2
"It 's supposed to be a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up .",2
with a bunch of exotic creatures,2
is never,2
its visual appeal or its atmosphere,2
"is a convincing one , and",3
as back,2
slapstick,3
and Back to the Future,2
seek justice,2
Aan opportunity,2
a sweet and enjoyable fantasy,4
England 's,2
"offensive ,",2
unfulfilled,1
have done,2
"is , I did n't mind all this contrived nonsense a bit .",2
protective cocoon,3
gaudy benefit,2
"had the ability to mesmerize , astonish and entertain",4
implied,2
is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice,3
rage and,2
The casting,2
", Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",1
it 's not very well shot or composed or edited,1
"good action , good acting , good dialogue , good pace , good cinematography",4
stuffs his debut with more plot,2
up walking out not only satisfied but,3
is as predictable as the tides .,1
to grow into a movie career,2
"Full of detail about the man and his country , and is well worth seeing .",4
an action icon,3
"meandering , loud , painful , obnoxious",0
the imagery in this chiaroscuro of madness and light,3
remarkably faithful,2
how to win the battle,3
passable date film,2
"At times , the movie looks genuinely pretty .",4
like the succession of blows dumped on Guei,2
"Fincher takes no apparent joy in making movies ,",1
you 've been to the movies,2
a movie like Ballistic : Ecks Vs. Sever is more of an ordeal than an amusement .,0
charm,3
devastating,0
with all the shooting,2
in Columbia Pictures ' perverse idea of an animated holiday movie,1
These people are really going to love The Piano Teacher .,4
foul-natured,1
societies,2
create some episodes that rival vintage Looney Tunes for the most creative mayhem in a brief amount of time .,3
this cinematic sandbox,2
mergers,2
his hypermasculine element here,2
affecting depictions of a love affair,2
"his smooth , shrewd , powerful act",4
"that forces them into bizarre , implausible behavior",2
"mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",0
-LRB- Roman Coppola -RRB-,2
Has all the right elements,3
to a crescendo that encompasses many more paths than we started with,3
all about Anakin ...,2
brain strain,1
the '70s,2
Harris -RRB-,2
fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing\/reappearing acts,3
the economic fringes of Margaret Thatcher 's ruinous legacy,2
but an amiably idiosyncratic work,3
sharp and quick documentary,3
a party worth,2
a teen,2
either you 're willing to go with this claustrophobic concept or you 're not,2
the now 72-year-old Robert Evans,2
somehow makes it all the more compelling .,3
communication,2
The immersive powers,3
Like Smoke Signals,2
seems to enjoy its own transparency,3
as the great equalizer,2
one woman 's,2
eight stories tall,2
in a strange way nails all of Orlean 's themes without being a true adaptation of her book,2
Colosseum,2
testament to the power of the eccentric and the strange .,2
Writer-director Ritchie,2
"'s a real shame that so much of the movie -- again , as in The Animal -- is a slapdash mess",0
marks an encouraging new direction for La Salle .,3
Sean Penn,2
"Of The Bride 's humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues .",4
"characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior",1
its source material,2
Sometimes this modest little number clicks,2
forget that they are actually movie folk,3
"was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile",2
", cliched and clunky",1
in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio,1
has all the heart of a porno flick -LRB- but none of the sheer lust -RRB- .,0
of Justine,2
in relationships or work,2
find it either moderately amusing or just plain irrelevant,1
"'s surprisingly decent , particularly",3
"playwright , poet and drinker",2
builds gradually,2
tipped this film,2
political and psychological thriller,3
pitifully,1
a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire,2
a flick,2
Serious and,2
these lives count,3
is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .,0
is n't a very,1
rent this on video,3
elegiac ...,2
"While most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world .",3
"like `` si , pretty much '' and `` por favor , go home '' when talking to Americans",2
tough enough to fit in any modern action movie,3
with good intentions,3
yesterday 's,2
has rarely been more fun than it is in Nine Queens .,2
like `` Rosemary 's Baby,2
CIA agent Jack Ryan,2
"this crude , this fast-paced and",2
The best didacticism is one carried by a strong sense of humanism,2
this dark tale of revenge,2
Like most movies about the pitfalls of bad behavior ... Circuit gets drawn into the party .,1
Elie,2
kicking around a raison d'etre that 's as fresh-faced as its young-guns cast,2
"the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem , and not strictly in the knowledge imparted",3
subtly,2
is the kind of movie that gets a quick release before real contenders arrive in September .,1
creeps into your heart,3
temper what could 've been an impacting film .,1
're really renting this you 're not interested in discretion in your entertainment choices,1
only movie,2
", what a thrill ride",4
"Memories of Rollerball have faded ,",2
about jokester highway patrolmen,2
its hackneyed elements,2
luminous,4
handsome blank yearning,2
makes an amazing breakthrough in her first starring role and eats up the screen,4
's quest to find an old flame,2
if you 're up for that sort of thing,3
make its way,2
a challenging film,2
is a film for the under-7 crowd,1
to a biting satire that has no teeth,1
middle section,2
"portrays , tiresomely regimented",1
Any Chekhov,2
a relatively short amount,2
rooting for Gai 's character to avoid the fate that has befallen every other Carmen before her,2
the unique way Shainberg goes about telling what at heart is a sweet little girl,3
some children who remain curious about each other against all odds,2
"no special effects , and",1
Barry -RRB-,2
Next Pretty Good Thing,3
", repressed and twisted",2
takes hold and grips hard,3
"Brash ,",2
strange route,2
or not Ram Dass proves as clear and reliable an authority on that as he was about inner consciousness,2
power boats,2
"Sluggish , tonally uneven",1
There has been a string of ensemble cast romances recently ... but Peter Mattei 's Love in the Time of Money sets itself apart by forming a chain of relationships that come full circle to end on a positive -LRB- if tragic -RRB- note,4
"A zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking Morlocks .",1
may just scare the pants off you,2
a stiflingly unfunny and unoriginal mess this,0
God 's,2
have nothing,2
"predominantly amateur cast is painful to watch ,",1
the earnestness of its execution and skill of its cast take you down a familiar road with a few twists,3
some decent performances,3
politically motivated,2
those responsible,2
saw Quentin Tarantino 's handful of raucous gangster films and,2
a pity that -LRB- Nelson 's -RRB- achievement does n't match his ambition,2
the thornier aspects of the nature\/nurture argument in regards,2
"is a ride , basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine .",2
", its apparent glee is derived from a lobotomy , having had all its vital essence scooped out and discarded .",0
that we do n't see often enough these days,2
the Homeric kind,2
less by wow factors,2
"gained notice in Guy Ritchie 's Lock , Stock and Two Smoking Barrels and Snatch",2
to lionize its title character and exploit his anger,2
she 's no working girl,2
look so bad in a major movie,0
"Piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent .",1
pics,2
addict,1
no-frills docu-Dogma plainness,1
"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",2
sensuous and spirited,4
its diverting grim message,2
all the actors reaching for the back row,2
Altman,2
as funny nor,1
on their working-class subjects,2
on confessional,2
Alternately frustrating and rewarding .,3
"watch Jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad",3
time-it-is,2
"to learn , to grow , to travel",2
Mr. Spielberg 's,2
"constructs a hilarious ode to middle America and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human",3
The most horrific movie experience,0
goes after one truth -LRB- the Ford administration 's complicity in tearing ` orphans ' from their mothers -RRB- and stumbles upon others even more compelling,1
"a somber film , almost completely",2
waged among victims and predators settle into an undistinguished rhythm of artificial suspense .,1
"tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging",4
both Seven,2
crossover viewers,2
"utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work",3
Despite its sincere acting,1
role,2
cross-country road trip,3
"This is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",3
"unlike many revenge fantasies , it ultimately delivers",4
with nothing,2
"None of this is meaningful or memorable , but frosting is n't , either , and you would n't turn down a big bowl of that , would you ?",3
enjoy at least the `` real '' portions of the film,2
Neuwirth,2
that 'll be much funnier than anything in the film ...,1
Longest Yard ... and,2
thanks to the presence,3
would shake us in our boots -LRB- or cinema seats -RRB-,2
turning Leys ' fable into a listless climb down the social ladder,1
warped logic by writer-director Kurt Wimmer,1
be a breath of fresh air,3
a torn book jacket,3
as Wiseman 's previous studies,2
"are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time",3
of a travesty of a transvestite comedy,1
Mr. Soderbergh 's direction and visual style,2
in dough from baby boomer families,2
`` Home Movie '' is a sweet treasure and something well worth your time .,4
obvious -LRB- Je-Gyu is -RRB-,2
bittersweet contemporary comedy,3
quirky Brit-com,2
does n't deserve the energy it takes to describe how bad it is .,0
a gritty feel help,2
injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .,3
overlong,1
too many spots where it 's on slippery footing,1
Phonce,2
"find a movie with a bigger , fatter heart",2
heated sexuality,3
the skinny side,2
of light,2
"their parents , wise folks that they are , read books",3
to probe questions of attraction and interdependence,3
found the movie as divided against itself as the dysfunctional family it portrays .,0
the film is so bleak that it 's hardly watchable,0
welcome as tryingly as the title character,2
"American and European cinema has amassed a vast Holocaust literature , but",2
"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation",1
"The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine , but",2
Viveka Seldahl and Sven Wollter,2
normative narrative,2
will go on so long as there are moviegoers anxious to see strange young guys doing strange guy things .,1
"vulgarity , sex scenes",1
never so vividly,3
Aussie,2
Back to the Future,2
Not once,2
Tennessee Williams by way of Oprah 's Book Club,1
With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .,1
avoid solving one problem by trying to distract us with the solution to another,1
"who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns",4
precisely when,2
are sophomoric,2
a new threat for the MIB,2
the video store,2
till then,2
"The performances are amiable and committed , and the comedy more often than not hits the bullseye",3
"is its conclusion , when we hear the ultimate fate of these girls and realize , much to our dismay , that this really did happen .",2
New Best Friend,2
An unflinching,2
"pretentious , untalented artistes who enjoy moaning about their cruel fate",1
was only,1
you to sleep,2
like one of Robert Altman 's lesser works,2
the mill sci-fi film,2
conduits,2
you think,2
Follows the original film virtually scene for scene and yet,2
badly cobbled look,1
interest onscreen,3
pride or,2
`` House of Games '',2
remembered as Roman Coppola 's brief pretentious period,2
accuse him,2
soulless techno-tripe .,1
If A Few Good Men told us that we `` ca n't handle the truth '' than High Crimes,2
each other and,2
propels her into the upper echelons of the directing world,4
"it did in Analyze This , not even Joe Viterelli as De Niro 's right-hand goombah",2
these broken characters,2
"Muddled , trashy",1
celebrates the hardy spirit of Cuban music,3
bond while,2
